Item	Name	InUse	Type	primary_key	NotNull	Unique	Default	FK_Table	FK_Column	onCopy	Comment
	externalCode	TRUE	varchar(255)	FALSE	FALSE	FALSE				TRUE	Внешний код проекта строительства, если указан. Значение не контролируется на уровне бизнес-логики и принимается "as is"
	projectName	TRUE	varchar(255)	FALSE	FALSE	FALSE				TRUE	Наименование проекта строительства
	projectDescription	TRUE	varchar(1023)	FALSE	FALSE	FALSE				TRUE	Описание проекта строительства в свободной форме
	projectType	TRUE	varchar(32)	FALSE	FALSE	FALSE		ldProjectTypes	dictStringValue	TRUE	Ссылка на  локальный справочник типов проектов
	projectStatus	TRUE	varchar(32)	FALSE	FALSE	FALSE		ldProjectStatuses	dictStringValue	TRUE	Ссылка на  локальный справочник статусов проектов
	projectStart	TRUE	date	FALSE	FALSE	FALSE				TRUE	Дата начала проекта (по плану). Формат YYYY-MM-DD (ISO 8601)
	projectFinish	TRUE	date	FALSE	FALSE	FALSE				TRUE	Дата начала проекта (по плану). Формат YYYY-MM-DD (ISO 8601)
	projectStartedAt	TRUE	date	FALSE	FALSE	FALSE				TRUE	Дата начала проекта (фактическая). Формат YYYY-MM-DD (ISO 8601)
#	projectSites	FALSE		FALSE	FALSE	FALSE				TRUE	Список объектов строительства в проекте
#	items	FALSE		FALSE	FALSE	FALSE				TRUE	
#	subSite	FALSE		FALSE	FALSE	FALSE				TRUE	
#	projectContracts	FALSE		FALSE	FALSE	FALSE				TRUE	Сведения о контрактах по проекту
#	items	FALSE		FALSE	FALSE	FALSE				TRUE	
#	contractType	FALSE		FALSE	FALSE	FALSE				TRUE	Тип контракта. Для УСД имеют значение только контракты типа 'Construction'
#	contractItem	FALSE		FALSE	FALSE	FALSE				TRUE	
#	projectParties	FALSE		FALSE	FALSE	FALSE				TRUE	Сведения о юридических лицах - участниках проекта
#	items	FALSE		FALSE	FALSE	FALSE				TRUE	
#	projectPartyType	FALSE		FALSE	FALSE	FALSE				TRUE	Тип "стороны/участника" по проекту
#	projectPartyName	FALSE		FALSE	FALSE	FALSE				TRUE	Обозначение типа участника, если projectPartyType = Other
#	projectPaty	FALSE		FALSE	FALSE	FALSE				TRUE	
#	relatedDocs	FALSE		FALSE	FALSE	FALSE				TRUE	Сведения о документах по проекту в целом
#	items	FALSE		FALSE	FALSE	FALSE				TRUE	
#	documentName	FALSE		FALSE	FALSE	FALSE				TRUE	
#	documentReference	FALSE		FALSE	FALSE	FALSE				TRUE	
	metaSourceName	TRUE	varchar(50)	FALSE	FALSE	FALSE				TRUE	Meta - Наименование внешнего источника
	metaSourceTimeStamp	TRUE	timestamp	FALSE	FALSE	FALSE				TRUE	Meta - Timestamp последнего изменения во внешнем источнике
